Municipality,Latitude,Longitude
Saint-Louis-de-Terrebonne,45.7,-73.78
Saint-Louis-du-Ha! Ha!,47.66,-68.98
Saint-Luc,46.73,-65.17
Saint-Luc,45.35,-73.3
Saint-Luc-de-Bellechasse,46.5,-70.48
Saint-Luc-de-Matane,48.79,-67.47
Saint-Luc-de-Vincennes,46.5,-72.41
Saint-Lucien,45.86,-72.26
Saint-Ludger,45.75,-70.7
Saint-Ludger-de-Milot,48.9,-71.81
Saint-Majorique,45.93,-72.58
Saint-Majorique-de-Grantham,45.93,-72.58
Saint-Malachie,46.53,-70.76
Saint-Malachie-Station,46.53,-70.78
Saint-Marc-de-Figuery,48.46,-78.05
Saint-Marc-de-Latour,48.81,-68.98
Saint-Marc-du-Lac-Long,47.38,-68.9
Saint-Marcel,46.31,-64.58
Saint-Marcel,46.9,-70.06
Saint-Marcel-de-Richelieu,45.86,-72.9
Saint-Marcellin,48.33,-68.3
Saint-Marc-sur-Richelieu,45.68,-73.2
Saint-Martin-de-Kent,46.34,-64.66
Saint-Mathias-de-Bonneterre,45.3,-71.38
Saint-Mathias-sur-Richelieu,45.46,-73.26
Saint-Mathieu,46.745,-71.245
Saint-Mathieu-de-Beloeil,45.56,-73.2
Saint-Mathieu-de-Rioux,48.18,-68.98
Saint-Mathieu-d'Harricana,48.46,-78.13
Saint-Mathieu-du-Parc,46.56,-72.91
Saint-Maure,47.95,-66.46
Saint-Maurice,46.49,-64.8
Saint-Maurice,46.46,-72.53
Saint-Maurice-de-Dalquier,48.64,-77.98
Saint-Maurice-de-l'Échouerie,49.05,-64.48
Saint-Maxime-du-Mont-Louis,49.23,-65.73
Saint-Médard,48.03,-68.9
Saint-Méthode,47.38,-71.74
Saint-Michel-de-Wentworth,45.77,-74.48
Saint-Michel-du-Squatec,47.88,-68.71
Saint-Modeste,47.83,-69.4
Saint-Modeste-Station,47.79,-69.4
Saint-Moïse,48.51,-67.85
Saint-Narcisse,46.52,-71.845
Saint-Narcisse-de-Beaurivage,46.48,-71.23
Saint-Narcisse-de-Rimouski,48.28,-68.43
Saint-Nazaire,48.58,-71.53
Saint-Nazaire-d'Acton,45.73,-72.61
Saint-Nazaire-de-Berry,48.71,-78.25
Saint-Nazaire-de-Dorchester,46.55,-70.66
Saint-Nérée-de-Bellechasse,46.73,-70.71
Saint-Nérée-Station,46.68,-70.66
Saint-Nicolas,46.925,-71.125
Saint-Norbert,46.46,-64.97
Saint-Norbert,46.16,-73.31
Saint-Norbert-d'Arthabaska,46.1,-71.81
Saint-Octave-de-Métis,48.6,-68.08
Saint-Odilon-de-Cranbourne,46.36,-70.68
Saint-Omer,47.58,-67.97
Saint-Onésime,47.32,-69.98
Saint-Onésime-d'Ixworth,47.3,-69.93
Saint-Pacôme-Station,47.41,-69.97
Saint-Pascal-Baylon,45.49,-75.15
Saint-Patrice,47.81,-69.57
Saint-Patrice-de-Beaurivage,46.41,-71.23
Saint-Patrice-de-Sherrington,45.16,-73.51
Saint-Paul-d'Abbotsford,45.43,-72.88
Saint-Paul-de-la-Croix,47.95,-69.2
Saint-Paul-de-l'Île-aux-Noix,45.13,-73.28
Saint-Paul-d'Industrie,45.98,-73.44
Saint-Paul-du-Nord,48.57,-69.23
Saint-Paul-Est,46.74,-70.33
Saint-Philémon-Nord,46.7,-70.49
Saint-Philémon-Sud,46.65,-70.39
Saint-Philibert,46.13,-70.55
Saint-Philippe,46.21,-64.69
Saint-Philippe,45.485,-73.94
Saint-Philippe-de-La Prairie,45.35,-73.47
Saint-Philippe-Est,45.63,-74.39
Saint-Pie-de-Guire,46,-72.75
Saint-Pierre,45.52333333,-73.66666667
Saint-Pierre-Baptiste,46.2,-71.61
Saint-Pierre-de-Broughton,46.25,-71.2
Saint-Pierre-de-Kent,46.51,-64.75
Saint-Pierre-de-Lamy,47.78,-69
Saint-Pierre-de-la-Rivière-du-Sud,46.91,-70.63
Saint-Pierre-de-l'Île-d'Orléans,46.88,-71.06
Saint-Pierre-de-Wakefield,45.7,-75.71
Saint-Pierre-Montmagny,46.9,-70.62
Saint-Placide,45.53,-74.2
Saint-Placide-de-Charlevoix,47.4,-70.62
Saint-Placide-Nord,47.46,-70.59
Saint-Polycarpe,45.3,-74.3
Saint-Pons,47.47,-64.96
Saint-Prime,48.58,-72.33
Saint-Prosper,46.21,-70.48
Saint-Prosper-de-Champlain,46.61,-72.28
Saint-Raphaël-sur-Mer,47.79,-64.56
Saint-Rédempteur,46.06,-72.835
Saint-Rémi-d'Amherst,46,-74.76
Saint-Rémi-de-Tingwick,45.86,-71.81
Saint-René,46.01,-70.61
Saint-René-de-Matane,48.7,-67.38
Saint-Robert,45.96,-73
Saint-Robert-Bellarmin,45.75,-70.58
Saint-Roch,48.01,-78.94
Saint-Roch-de-l'Achigan,45.85,-73.6
Saint-Roch-de-Mékinac,46.81,-72.76
Saint-Roch-de-Richelieu,45.88,-73.16
Saint-Roch-Ouest,45.85,-73.65
Saint-Romain,45.78,-71.1
Saint-Romuald,46.75,-71.23
Saint-Rosaire,46.16,-72.03
Saint-Samuel,46.06,-72.21
Saint-Samuel-de-Horton,46.06,-72.2
Saint-Samuel-Station,45.71,-70.91
Saints-Anges,46.41,-70.88
Saint-Sébastien,45.445,-72.055
Saint-Sévère,46.35,-72.9
Saint-Séverin,46.485,-71.775
Saint-Siméon-de-Bonaventure,48.07,-65.56
Saint-Siméon-Est,48.07,-65.54
Saint-Siméon-Ouest,48.07,-65.6
Saint-Simon,46.965,-70.955
Saint-Simon-de-Bagot,45.73,-72.87
Saint-Simon-de-Rimouski,48.2,-69.04
Saint-Simon-les-Mines,46.21,-70.68
Saint-Sixte,45.7,-75.21
Saints-Martyrs,45.85,-71.53
Saints-Martyrs-Canadiens,45.85,-71.53
Saint-Sosime,46.38,-65.25
Saint-Stanislas,47.805,-72.29
Saint-Stanislas-de-Kostka,45.18,-74.13
Saint-Sulpice,45.83,-73.35
Saint-Sylvère,46.23,-72.21
Saint-Télesphore,46.03,-72.795
Saint-Tharcisius,48.53,-67.33
Saint-Théodore,46.07,-73.88
Saint-Théodore-d'Acton,45.68,-72.58
Saint-Thomas,47.12,-71.785
Saint-Thomas-d'Aquin,45.64,-72.99
Saint-Thomas-de-Caxton,46.36,-72.79
Saint-Thomas-de-Kent,46.44,-64.63
Saint-Thomas-de-Soulanges,45.24,-74.29
Saint-Thomas-Didyme,48.9,-72.66
Saint-Thuribe,46.71,-72.16
Saint-Timothée,45.29,-74.04
Saint-Tite-des-Caps,47.13,-70.76
Saint-Urbain,47.55,-70.53
Saint-Urbain-Premier,45.21,-73.73
Saint-Valentin,45.13,-73.31
Saint-Valère,46.06,-72.1
Saint-Valérien,48.33,-68.66
Saint-Valérien-de-Milton,45.56,-72.71
Saint-Vallier-Station,46.86,-70.79
Saint-Venant-de-Paquette,45.13,-71.46
Saint-Vianney,48.63,-67.41
Saint-Viateur,46.16,-73.16
Saint-Victor-de-Bonaventure,48.05,-66.99
Saint-Victor-Station,46.15,-70.91
Saint-Vincent-de-Paul,45.61,-73.65
Saint-Vital-de-Clermont,48.92,-79.25
Saint-Wilfred,47.25,-65.21
Saint-Yvon,49.16,-64.8
Saint-Zénon,46.55,-73.81
Saint-Zénon-du-Lac-Humqui,48.3,-67.58
Saint-Zéphirin,46.05,-72.62
Saint-Zéphirin-de-Courval,46.06,-72.63
Sakaw,53.44,-113.43
Sakimay 74,50.55,-102.79
Sakimay 74-1,51.05,-102.42
Sakimay 74-10,50.95,-102.38
Sakimay 74-11,50.96,-102.39
Sakimay 74-12,50.63,-102.79
Sakimay 74-14,50.45,-104.47
Sakimay 74-16,50.64,-102.81
Sakimay 74-17,50.64,-102.8
Sakimay 74-2,50.64,-102.85
Sakimay 74-3,51.06,-102.41
Sakimay 74-4,50.89,-102.66
Sakimay 74-5,50.94,-102.37
Sakimay 74-6,50.44,-104.71
Sakimay 74-7,51.21,-102.48
Sakimay 74-9,50.64,-102.82
Salaberry,46.05,-71.43
Salaquo 4,53.88,-122.97
Salem,45.97,-65.05
Salem,45.76,-64.11
Salem,44.11833333,-79.54166667
Salem Corners,44.28,-78.93
Salford,42.99,-80.82
Salina,45.52,-65.7
Sally's Cove,49.72,-57.93
Salmon Arm Range,50.67,-119.25
Salmon Bay,51.42,-57.61
Salmon Bay 3,50.44,-124.66
Salmon Beach,48.96,-125.43
Salmon Beach,47.66,-65.52
Salmon Cove,47.78,-53.17
Salmon Creek 3,58.18,-131.63
Salmon Lake 7,50.28,-119.99
Salmon Point,43.88,-77.2
Salmon River 1,50.44,-122.62
Salmon River Bridge,44.77,-63.03
Salmon River Lake,45.35,-61.72
Salmon River Meadow 7,52.97,-125.16
Salmon Valley,54.08,-122.7
Salmonhurst Corner,46.97,-67.62
Salmonville,43.11,-81.2
Salomé,45.93,-73.47
Salt Harbour,49.64,-54.62
Salt Point,51.75,-99.81
Salt Pond,47.09,-55.19
Salt Prairie Settlement,55.6,-116.12
Salt Springs,45.54,-65.65
Salt Springs,45.59333333,-62.96333333
Saltford,43.75,-81.69
Salvador,52.16,-109.5
Salvail,45.67,-73.07
Salvus 26,54.29,-129.4
Sam Adams 12,49.92,-121.45
Samahquam 1,50,-122.52
Sambro Creek,44.46,-63.61
Sambro Head,44.48,-63.58
Samiajij Miawpukek,47.86,-55.74
Samp Hill,45.98,-65.36
Sampsons Cove,45.5,-60.93
Sampson's Meadow 11,51.8,-122.01
Sampson's Meadow 11A,51.8,-122
Sampsonville,45.68,-60.84
Samson 137,52.81,-113.49
Samson 137A,52.75,-113.43
San Jose 6,52.12,-122.12
Sanborn,45.93,-71.55
Sanctuary,50.98,-108.08
Sand Banks,43.89,-77.27
Sand Bay,46.74,-84.54
Sand Bay,45.54,-76.56
Sand Bay Corner,44.46,-76.07
Sand Beach,43.81,-66.12
Sand Brook,45.5,-66.56
Sand Castle Beach,44.74,-80.12
Sand Hill,47.62,-65.61
Sand Hill,45.37,-71.74
Sand Island 4,53.81,-130.42
Sand Lake,45.64,-79.18
Sand Point,45.34,-66.19
Sand Point,45.625,-62.26
Sand Point,47.47,-82.27
Sand River,45.54,-64.67
Sandfield Mills,45.14,-74.77
Sandford,43.92,-66.14
Sandford,44.13,-79.2
Sandhill,43.83,-79.81
Sandhurst,44.12,-76.87
Sandhurst Shores,44.12,-76.88
Sandilands,49.32,-96.29
Sandison,42.26,-82.12
Sandown,45.45,-74.83
Sandringham,48.65,-53.82
Sandringham,45.3,-74.93
Sandstone Valley,51.14,-114.1
Sandtown,45.1,-75.08
Sandusk,42.85,-80.03
Sandwich,42.28,-83.05
Sandwick,49.7,-124.98
Sandy Bay 5,50.55,-98.66
Sandy Cove,49.35,-123.23
Sandy Cove,48.64,-53.7
Sandy Cove,44.49,-66.08
Sandy Cove,43.57,-79.805
Sandy Cove Acres,44.35,-79.55
Sandy Creek,45.96,-76.49
Sandy Harry 4,51.81,-122.1
Sandy Hill,45.505,-75.17
Sandy Hook,50.54,-96.98
Sandy Hook,45.44,-76.37
Sandy Hook Golf Course,50.52,-96.99
Sandy Lake 88,53.08,-93.29
Sandy Narrows 184C,55.03,-103.05
Sandy Point 221,58.93,-110.73
Sandy Point Beach,44.56,-79.23
Sandy Point Road,45.31,-66.07
Sandyville,45.98,-66.59
Sans Souci,45.17,-80.13
Saouchten 18,54.01,-132.17
Saouk 16,48.89,-124.57
Sapawe,48.76,-91.33
Sapin-Court,46.71,-65.46
Sapotaweyak Cree Nation,52.82,-100.63
Sapotaweyak Cree Nation - Spruce Island,53.04,-100.58
Sapperton,49.21,-122.88
Saraguay,45.51,-73.75
Saratoga,43.81,-81.57
Saratoga Beach,49.86,-125.11
Sardis,49.13,-121.95
Sarnia 45,42.92,-82.41
Sarnia Beach,50.99,-105.22
Sarque 5,48.67,-124.78
Sarto,49.39,-96.74
Sas Mighe 32,54.5,-122.69
Saseenos,48.38,-123.66
Saskatchewan Beach,50.79,-104.92
Satoo,53.44,-113.45
Satunquin 5,53.66,-132.22
Saturna Island 7,48.78,-123.08
Sauble Beach North,44.65,-81.27
Sauble Beach South,44.59,-81.27
Sauble Falls,44.67,-81.25
Saug-A-Gaw-Sing 1,49.12,-94.31
Saugeen 29,44.54,-81.29
Saugeen and Cape Croker Fishing Islands 1,44.96,-81.42
Saugeen Hunting Grounds 60A,45.17,-81.5
Saulnierville Station,44.24,-66.09
Sault Ship Canal,46.51,-84.35
Sault-à-la-Puce,46.97,-71.01
Sault-au-Récollet,45.55,-73.65
Saulteaux 159,53.12,-108.33
Saulteaux 159A,53.48,-108.13
Saulteaux 159AA,53.24,-108.18
Saulteaux 159B,52.81,-108.29
Saulteaux 159C,53.29,-108.32
Saulteaux 159D,53.21,-108.3
Saulteaux 159DD,53.24,-108.24
Saulteaux 159E,53.2,-108.38
Saulteaux 159EE,53.55,-108.3
Saulteaux 159F,53.02,-108.07
Saulteaux 159FF,53.08,-108.34
Saulteaux 159G,53.35,-108.18
Saulteaux 159H,53.17,-108.25
Saulteaux 159I,53.11,-108.34
Saulteaux 159J,53.29,-108.35
Saulteaux 159K,53.27,-108.25
Saulteaux 159KK,53.4,-108.34
Saulteaux 159L,53.29,-108.25
Saulteaux 159LL,53.31,-108.43
Saulteaux 159M,53.11,-108.34
Saulteaux 159MM,53.17,-108.37
Saulteaux 159N,53.31,-108.3
Saulteaux 159O,53.15,-108.26
Saulteaux 159P,53.19,-108.27
Saulteaux 159Q,53.19,-108.25
Saulteaux 159R,53.18,-108.33
Saulteaux 159S,53.28,-108.1
Saulteaux 159T,53.29,-108.23
Saulteaux 159U,52.85,-107.68
Saulteaux 159V,53.25,-108.26
Saulteaux 159Y,53.25,-108.22
Saulteaux First Nation 159BB,53.31,-108.1
Saulteaux First Nation 159CC,52.79,-107.45
Saulteaux First Nation 159GG,52.96,-108.29
Saulteaux First Nation 159HH,53.13,-108.36
Saulteaux First Nation 159II,53.51,-108.39
Saulteaux First Nation 159JJ,53.22,-108.26
Saulteaux First Nation 159W,53.21,-108.28
Saulteaux First Nation 159X,52.72,-107.44
Saulteaux First Nation 159Z,53.19,-108.33
Sault-Saint-Lin,45.87,-73.75
Saunders Cove,48.7,-54.01
Saurin,44.6,-79.88
Sauvé,49.12,-66.32
Savage Cove - Sandy Cove,51.33,-56.68
Savanne,48.95,-90.24
Savant Lake,50.23,-90.7
Savey 15,49.96,-126.94
Savoy Landing,47.75,-64.68
Sawlog Bay,44.85,-79.93
Sawridge 150G,55.28,-114.67
Sawridge 150H,55.31,-114.86
Saxby Corner,45.38,-72.63
Sayers Mills,43.54,-80.01
Say-La-Quas 10,48.89,-123.68
Scarboro,51.05,-114.11
Scarborough,43.75,-79.23
Scarborough Village,43.74,-79.2
Scarlet Park,44.72,-79.36
Scarsdale,44.59,-64.63
Scarth,49.73,-100.94
Scaucy 5,49.81,-121.45
Scenic Acres,51.11,-114.22
Schaltuuch 27,49.4,-123.47
Schanzenfeld,49.13,-97.94
Schelowat 1,49.18,-121.83
Schikaelton 16,50.41,-121.35
Schindelsteddle,43.38,-80.6
Schist Lake,54.66,-101.79
Schkam 2,49.4,-121.45
Schoenfeld,50.1,-107.7
Schoenweise,52.45,-106.56
Schoenwiese,49.03,-97.82
Schomberg Heights,44.04,-79.7
Schumacher,48.47,-81.29
Schutt,45.24,-77.46
Schwartz,45.8,-76.36
Schyan Point,46.09,-77.43
Science Hill,43.29,-81.19
Scoble West,48.22,-89.63
Scone,44.3,-81.07
Scotch Block,43.57,-79.96
Scotch Bush,45.33,-77.46
Scotch Corners,45.07,-76.19
Scotch Creek 4,50.91,-119.48
Scotch Hill,45.69,-62.8
Scotch Lake,45.95,-66.96
Scotch Lake,46.18,-60.36
Scotch Line,44.85,-76.3
Scotch Point,44.76,-76.16
Scotch Ridge,45.28,-67.39
Scotch Settlement,46.105,-65.835
Scotch Settlement,44.37,-78.81
Scotch Village,45.05,-64
Scotchfort 4,46.36,-62.9
Scotchtown,45.89,-66.14
Scotchtown,46.23,-60.09
Scotia,45.5,-79.29
Scotsburn,45.65,-62.85
Scotsguard,49.71,-108.15
Scotsville,46.18,-61.15
Scott Road,46.03,-65.1
Scott Settlement,45.02,-78.005
Scott Siding,45.91,-67.54
Scotts Landing,44.78,-78.05
Scottsville,42.88,-81.28
Scout Lake,49.36,-106
Scovil,45.76,-66.13
Scowlitz 1,49.23,-121.93
Scudder,41.81,-82.65
Scugog,44.155,-78.9
Scugog Centre,44.15,-78.89
Scugog Point,44.18,-78.79
Scuttsap 11,54.21,-129.56
Scuttsap 11A,54.21,-129.56
SE Hill,50.02,-110.67
Sea Breeze,45.28,-78.97
Sea Island 3,49.2,-123.2
Sea Side,47.94,-66.12
Seabird Island,49.26,-121.71
Seabright,44.61,-63.92
Seabrook,44.61,-65.81
Seacliffe,42.03,-82.61
Seafair,49.15,-123.18
Seafoam,45.78,-62.97
Seagrave,44.2,-78.95
Seah 5,50.5,-121.73
Seaichem 16,49.75,-123.14
Seal Bight,52.45,-55.68
Seal Harbour,45.15,-61.58
Seal Islands Harbour,53.22,-55.71
Searsville,45.71,-65.69
Seaspunkut 4,54.05,-124.76
Seaview,45.16,-66.19
Seaview,45.68,-60.97
Sebastopol,43.33,-80.83
Sebright,44.69,-79.16
Sebringville,43.4,-81.06
Seckerton,42.83,-82.39
Second Falls,45.23,-66.84
Second North River,46.06,-65.07
Second Peninsula,44.4,-64.29
Secord,46.32,-80.83
Secret Cove,49.53,-123.95
Secteur d'entrainement de Chilcotin,52.08,-122.55
Secteur Ristigouche,47.97,-66.93
Secteur-Charlevoix,48.16,-71.06
Secteur-Como,45.43,-74.12
Seddons Corner,50.06,-96.29
Seekaskootch 119,53.68,-109.9
Seektukis 24,49.37,-126.05
Seeley,44.58,-75.81
Seeleys Cove,45.08,-66.65
SeeSeep Sakahikan,53.94,-93.89
Seguin,45.32,-79.8
Seguin Falls,45.41,-79.66
Seigneurie-de-Vaudreuil,45.42,-74.05
Seine River 23A,48.72,-92.41
Seine River 23B,48.66,-92.77
Selby,44.29,-76.98
Selfridge Corner,45.03,-64.87
Sellars,48.29,-89.74
Sellwood,46.84,-81.02
Selma,45.32,-63.53
Selma Park,49.46,-123.73
Selton,43.435,-78.96
Selwood,47.98,-66.4
Selwyn,44.46,-78.31
Semach 2,50.67,-128.34
Semiahmoo,49.01,-122.76
Semiwagan Ridge,46.85,-65.56
Senanus Island 10,48.59,-123.48
Senate,49.28,-109.7
Senecal,45.55,-74.99
Senneville,45.41,-73.95
Sentiers-du-Sommet,46.04,-74.05
Sentinel Hill,49.33,-123.13
Seouls Corners,44.78,-76.8
Separation Point,53.61,-57.41
Serath,51.18,-104.51
Serpent River,46.21,-82.54
Serpent River 7,46.18,-82.55
Sesekinika,48.18,-80.23
Seton Lake 5,50.66,-121.98
Seton Lake 5A,50.71,-122.3
Seton Portage,50.7,-122.28
Seven Sisters Falls,50.1,-96.01
Seven Sisters Generating Station,50.11,-96.01
Sevenoaks,48.46,-123.38
Severn,44.75,-79.5
Severn Bridge,44.77,-79.33
Severn Falls,44.87,-79.6
Seville,42.76,-80.9
Sewell,49.27,-97.47
Sewell Inlet,52.87,-131.98
Seymour Arm,51.23,-118.95
Seymour Beach,42,-82.97
Seymour Creek 2,49.3,-123.02
Seymour Heights,49.32,-123
Seymour Meadows 19,52.2,-124.45
Seymourville,51.18,-96.32
Shabaqua,48.57,-89.9
Shabaqua Corners,48.59,-89.88
Shackan 11,50.28,-121.2
Shackleton,50.68,-108.6
Shad Bay,44.52,-63.78
Shady Nook,45.76,-77.1
Shady Valley,53.96,-122.71
Shaftesbury Settlement,56.15,-117.45
Shaganappi,51.05,-114.13
Shakespeare,43.36,-80.83
Shallop Cove,48.41,-58.53
Shamattawa 1,55.85,-92.09
Shampers,45.53,-66.01
Shamrock,45.39,-76.84
Shamrock,50.16,-106.62
Shands,43.72,-80.34
Shanes,44.83,-76.01
Shanick,44.59,-77.69
Shanklin,45.36,-65.62
Shanks,45.3,-72.05
Shanly,44.89,-75.47
Shannon,45.7,-65.98
Shannon,46.88,-71.51
Shannon Hall,45.31,-79.53
Shannons Corners,44.32,-76.5
Shannonvale,48.01,-66.44
Shannonville,44.19,-77.22
Shanty Bay,44.41,-79.58
Sharps Corners,44.33,-77
Sharpton,44.31,-76.67
Shas Dzuhl Koh 35,54.49,-124.97
Shaughnessy,49.85,-112.84
Shaughnessy,49.25,-123.13
Shaw Brook,46.21,-64.87
Shawanaga,45.51,-80.28
Shawanaga 17,45.52,-80.3
Shawanaga 17B,45.52,-80.37
Shawanaga Landing,45.52,-80.38
Shawbridge,45.87,-74.07
Shawinigan-Nord,46.56,-72.76
Shawinigan-Sud,46.52,-72.74
Shawmere,48.33,-82.54
Shawnee Slopes,50.92,-114.08
Shawnessy,50.9,-114.08
Shawniken 3,50.41,-121.36
Shawniken 4B,50.41,-121.35
Sheahan Estates,45.33,-75.78
Shearwater,44.63,-63.52
Sheatown,44.57,-75.95
Shebeshekong,45.42,-80.21
Shediac Cape,46.23,-64.56
Shediac Ridge,46.76,-65.39
Shediac River,46.27,-64.62
Sheenboro,45.96,-77.23
Sheerness,51.48,-111.67
Sheet Harbour 36,44.91,-62.55
Sheet Harbour Passage,44.86,-62.44
Sheffield,45.89,-66.33
Sheffield,43.32,-80.2
Sheffield Glen,45.39,-75.61
Sheffield Industrial,53.56,-113.59
Sheffield Mills,45.15,-64.47
Shefford,45.35,-72.56
Shefford-Ouest,45.31,-72.65
Sheganny 14,53.45,-129.76
Sheguiandah 24,45.86,-81.93
Sheila,47.47,-64.91
Shekatika,51.28,-58.33
Sheldon,44.07,-79.98
Sheldrake,50.26,-64.89
Sheldrake Lake,44.67,-63.79
Shell Island 3,50.7,-127.4
Shelley,54,-122.61
Shellmouth,50.93,-101.47
Shelter Point,49.93,-125.18
Shemogue,46.15,-64.18
Shenacadie,46.02,-60.64
Shenston,48.72,-94.05
Shenstone,45.89,-64.73
Shep,43.58,-79.55
Shepard,50.95,-113.9
Shepody,45.77,-64.65
Sheppardton,43.83,-81.7
Sheraton,54.16,-125.46
Sheraton Creek 19,54.18,-125.48
Sheridan Homelands,43.52,-79.66
Sheridan Park,44.06,-77.68
Sherkston,42.88,-79.13
Sherose Island,43.53,-65.6
Sherrington,45.16,-73.52
Sherwood,53.52,-113.58
Sherwood,44.71,-64.29
Sherwood,45.055,-81.53
Sherwood Estates,50.49,-104.68
Sherwood Forest,43,-81.29
Sherwood Forrest,43.53,-79.64
Sherwood Heights,44.67,-63.66
Sherwood Springs,44.52,-75.79
Sherwood Village,42.96,-82.35
Sheshatshiu 3,53.51,-60.14
Shesheep 74A,50.62,-102.77
Sheshegwaning 20,45.94,-82.84
Sheth Chok,58.52,-101.49
Shetland,42.7,-81.98
Shevlin,51.19,-101.2
Shields,51.81,-106.4
Shields Crossing,45.67,-76.93
Shigawake,48.1,-65.08
Shigawake-Est,48.1,-65.04
Shillington,48.53,-80.68
Shilo Range and Training Area,49.73,-99.47
Shiloh,43.905,-79.05
Shingle Point 4,49.04,-123.63
Shinimicas,45.87,-63.92
Shining Tree,47.55,-81.26
Ship Cove,47.23666667,-54.14666667
Ship Harbour,47.36,-53.89
Ship Harbour,44.8,-62.88
Ship Island,49.64,-54.61
Shipka,43.28,-81.67
Shipman,43.16,-79.25
Shipman,53.47,-104.98
Shipshaw,48.48,-71.27
Shirley,44.05,-78.89
Shirleys Bay,45.36,-75.87
Shisler Point,42.87,-79.13
Shoal Arm,49.59,-55.94
Shoal Cove,51.185,-56.83
Shoal Lake 28A,53.49,-102.63
Shoal Lake 31J,49.42,-95.11
Shoal Lake 34B1,49.43,-95.1
Shoal Lake 34B2,49.6,-95.11
Shoal Lake 37A,49.46,-95.16
Shoal Lake 37A,49.46,-95.16
Shoal Lake 39,49.49,-95.14
Shoal Lake 39,49.49,-95.14
Shoal Lake 39A,49.65,-95.15
Shoal Lake 39A,49.65,-95.15
Shoal Lake 40,49.61,-95.21
Shoal Lake 40,49.61,-95.21
Shoal Point,47.325,-56.375
Shoal River,52.74,-100.68
Shoal River 65A,52.74,-100.68
Shoal River 65B,52.82,-100.66
Shoal River 65F,52.79,-100.65
Shoomart 5,49.8,-126.74
Sho-ook 5,49.97,-121.48
Shoowahtlans (Shawtlans) 4,54.32,-130.25
Shore Acres,44.23,-79.53
Shoreacres,49.41,-117.53
Shoreacres,43.36,-79.75
Shorepointe Village,50.64,-96.99
Shore's Cove,47.09,-52.92
Shorncliffe,51.08,-97.12
Short Beach,43.94,-66.14
Shortdale,51.23,-101.03
Shortts Lake,45.21,-63.32
Shoskhost 7,50.26,-121.42
Shouldice,44.64,-81.03
Shpapzchinh 20,50.56,-121.29
Shrewsbury,42.3,-81.92
Shrigley,44.21,-80.3
Shrypttahooks 7,49.82,-121.43
Shubenacadie 13,44.93,-63.6
Shubenacadie East,45.1,-63.39
Shulie,45.59,-64.57
Shuniah,48.58,-88.78
Shuouchten 15,50.26,-121.46
Shuswap,50.78,-119.7
Shuswap Indian Reserve,50.53,-116.03
Shutty Bench,49.96,-116.91
Siakin 4,50.28,-124.78
Sibbald,51.38,-110.15
Siberia,45.46,-77.7
Sicamous 3,50.81,-119
Sidewood,50.05,-108.9
Sidina 6,55.43,-127.6
Siegas Lake Settlement,47.31,-67.92
Sienna,46.5,-74.81
Sifton Park,53.59,-113.4
Sight Point,46.19,-61.4
Siglavik,50.59,-96.99
Signal Hill,51.02,-114.17
Signet,44.02,-80.45
Sik-e-dakh 2,55.3,-127.69
Siksika 146,50.77,-112.9
Silcote,44.65,-80.77
Silicon 2,50.69,-122.09
Sillarsville,48,-66.86
Sillery,46.77,-71.26
Sillsville,44.14,-76.91
Siloam,44.08,-79.23
Silton,50.8,-104.91
Silver,50.84,-97.21
Silver Bay,42.87,-79.16
Silver Beach,53.03,-113.99
Silver Birch Beach,44.82,-80.04
Silver Centre,47.19,-79.5
Silver Corners,43.66,-81.1
Silver Creek,49.98,-120.405
Silver Creek,43.67,-79.98
Silver Creek,45.61,-75.33
Silver Falls,50.51,-96.09
Silver Falls Park,45.3,-66.01
Silver Harbour,50.81,-96.96
Silver Heights,50.4,-105.48
Silver Hill,42.75,-80.48
Silver Hills,43.76,-79.36
Silver Islet,48.33,-88.82
Silver Lake,45.08,-77.93
Silver Mountain,48.25,-89.9
Silver Park,52.66,-104.51
Silver Plains,49.45,-97.29
Silver Point,49.46,-57.9
Silver Salmon Lake 5,59.23,-133.22
Silver Springs,51.1,-114.19
Silver Star,50.35,-119.05
Silver Valley,49.26,-122.56
Silver Water,45.85,-82.85
Silverdale,43.07,-79.45
Silverhill,49.18,-122.38
Silvers Corners,44.3,-76.53
Silverthorne,43.68,-79.46
Silverwood,45.96,-66.76
Silverwood Heights,52.17,-106.62
Sim Creek 5,51.01,-125.61
Simard,46.56,-81.11
Simcoe Island,44.16,-76.52
Simcoe Lodge,44.59,-79.36
Simcoeside,44.48,-79.47
Simmie,49.94,-108.1
Simms Settlement,44.62,-64.09
Simonds,46.33,-67.55
Simonet,48.34,-72.08
Simpson Corner,45.22,-67.17
Simpson Corners,43.77,-80.28
Simpsons Corner,44.53,-64.78
Sims Locks,43.04,-79.91
Sinclair,49.56,-101.28
Sinclair Mills,54.01,-121.68
Sinclairville,43.05,-79.76
Sine,44.34,-77.58
Singer,45.9,-75.14
Sinkut Lake 8,53.91,-123.96
Sinnce-tah-lah 2,52.94,-122.5
Sinnett,51.9,-104.91
Sioux Narrows,49.41,-94.09
Sioux Narrows-Nestor Falls,49.35,-94.11
Sioux Valley Dakota Nation,49.85,-100.49
Sirdar,49.23,-116.61
Sirois,47.28,-67.99
Sisipuk Sakahegan (A),55.71,-101.77
Sisipuk Sakahegan (B),55.73,-101.82
Sisipuk Sakahegan (C),55.71,-101.73
