Municipality,Province - Territory,Latitude,Longitude
Roseau River Reserve,Manitoba,49.14,-97.24
Rosebank,Manitoba,49.37,-98.11
Rosebank,Ontario,44.66,-77.955
Rosebank Station,Ontario,43.79,-79.11
Roseburn,Nova Scotia,46,-61.23
Rosedale,Alberta,51.41,-112.63
Rosedale,British Columbia,49.18,-121.8
Rosedale,New Brunswick,46.23,-67.55
Rosedale,Nova Scotia,45.99,-61.27
Rosedale,Ontario,44.162,-78.094
Rosedale Industrial,Alberta,53.49,-113.47
Rosedale Terrace,Ontario,45.06,-74.77
Rosedene,Ontario,43.06,-79.41
Rosegrove Beach,Ontario,48.02,-80.02
Rosehall,Ontario,43.94,-77.42
Rosehaven,Ontario,45.02,-75.41
Rosehill,Ontario,43.9,-80.03
Roseisle,Manitoba,49.5,-98.34
Roseland,Manitoba,49.79,-100.07
Roseland,Ontario,42.79,-81.375
Rosemère,Quebec,45.63,-73.8
Rosemont,Alberta,51.08,-114.08
Rosemont,Ontario,44.12,-79.99
Rosemont,Saskatchewan,50.43,-105.09
Rosemont–La Petite-Patrie,Quebec,45.56,-73.59
Rosemount,Ontario,43.45,-80.46
Rosendale,Ontario,43.49,-80.45
Rosengart,Manitoba,49.01,-97.86
Rosenthal,Ontario,45.36,-77.46
Roseray,Saskatchewan,50.46,-108.48
Rosetta,Ontario,45.12,-76.33
Rosevale,New Brunswick,45.85,-64.84
Roseville,Ontario,43.715,-79.83
Roseway,Nova Scotia,43.62,-65.34
Ross,Manitoba,49.76,-96.43
Ross,New Brunswick,46.21,-66.61
Ross Corner,Nova Scotia,45.14,-64.64
Ross Creek,Nova Scotia,45.24,-64.45
Ross Ferry,Nova Scotia,46.14,-60.58
Ross Glen,Alberta,50.01,-110.62
Ross Haven,Alberta,53.73,-114.4
Ross Park,Saskatchewan,50.4,-105.51
Ross Spur,British Columbia,49.18,-117.46
Rosscarrock,Alberta,51.04,-114.14
Rossclair,Ontario,45.06,-79.54
Rossdale,Alberta,53.53,-113.49
Rosseau Falls,Ontario,45.23,-79.59
Rosseau Road,Ontario,45.27,-79.86
Rossendale,Manitoba,49.82,-98.61
Rosser,Manitoba,49.99,-97.45
Rossfield,Nova Scotia,45.54,-62.27
Rosslyn,Alberta,53.6,-113.5
Rosslyn Village,Ontario,48.36,-89.44
Rossmount,Ontario,44.04,-78.3
Rossville,Manitoba,53.99,-97.78
Rossville,New Brunswick,46.01,-67.26
Rossway,Nova Scotia,44.58,-65.9
Rostock,Ontario,43.49,-81
Rostrevor,Ontario,45.18,-79.56
Rothesay Park,Saskatchewan,50.38,-105.51
Rothsay,Ontario,43.81,-80.7
Rothwell Heights,Ontario,45.45,-75.61
Rothwell Place,Saskatchewan,50.45,-104.56
Rothwell Village,Ontario,45.45,-75.6
Rouge,Ontario,43.8,-79.16
Rouge Hill,Ontario,43.79,-79.13
Rouge Park,Ontario,43.8,-79.15
Rougemont,Quebec,45.44,-73.05
Rough Waters,New Brunswick,47.58,-65.64
Rouleau-Siding,Quebec,48.2,-75.89
Roulier,Quebec,47.77,-79.4
Round Bay,Nova Scotia,43.59,-65.35
Round Harbour,Newfoundland and Labrador,49.85,-55.66
Round Island,Nova Scotia,46.05,-59.92
Round Lake,Ontario,44.52,-77.88
Round Plains,Ontario,42.94,-80.34
Roundabout,Newfoundland and Labrador,46.91,-55.58
Rounthwaite,Manitoba,49.67,-99.79
Rousseau,Quebec,46.93,-72.29
Route-du-Sault,Quebec,47.66,-68.86
Routhier,Ontario,45.47,-74.79
Routhierville,Quebec,48.18,-67.14
Rowatt,Saskatchewan,50.33,-104.61
Rowena,New Brunswick,46.78,-67.63
Rowena,Ontario,44.9,-75.28
Rowland,Ontario,45.13,-77.61
Rowley,Alberta,51.76,-112.78
Rows Corners,Ontario,44.63,-75.69
Roxboro,Alberta,51.03,-114.06
Roxboro,Ontario,43.57,-81.4
Roxboro,Quebec,45.5,-73.8
Roxbourgh,Ontario,45.04,-79.25
Roxham,Quebec,45.02,-73.51
Roxton,Quebec,45.55,-72.51
Roxton-Est,Quebec,45.52,-72.48
Roxton-Sud,Quebec,45.47,-72.66
Roxville,Nova Scotia,44.6,-65.86
Roy,New Brunswick,46.41,-64.79
Roy Settlement,New Brunswick,47.63,-65.6
Royal,Ontario,43.09,-79.11
Royal Beach,Ontario,44.32,-79.27
Royal Gardens,Alberta,53.47,-113.52
Royal Oak,Alberta,51.15,-114.23
Royal Oak,British Columbia,48.48,-123.38
Royal Road,New Brunswick,46.02,-66.69
Royalties,Alberta,50.55,-114.23
Royalton,New Brunswick,46.48,-67.77
Royaume-des-Cèdres,Quebec,47.43,-79.52
Royville,Quebec,45.75,-72.66
Ruby,Ontario,45.53,-77.32
Ruby Creek 2,British Columbia,49.35,-121.6
Ruby Mine,Ontario,45.19,-77.37
Ruddell,Saskatchewan,52.6,-107.85
Ruddock,Manitoba,55.26,-100.94
Ruel,Ontario,47.26,-81.46
Rugby,Ontario,44.56,-79.5
Ruisseau-à-l'Ail,Quebec,49.11,-64.62
Ruisseau-à-la-Loutre,Quebec,48.94,-67.14
Ruisseau-à-l'Eau-Chaude,Quebec,46.5,-70.64
Ruisseau-à-Rebours,Quebec,49.22,-65.94
Ruisseau-à-Sem,Quebec,48.97,-67.05
Ruisseau-Castor,Quebec,49.17,-66.33
Ruisseau-des-Anges,Quebec,45.8,-73.67
Ruisseau-des-Olives,Quebec,49.24,-65.66
Ruisseau-Jureux,Quebec,47.53,-70.2
Ruisseau-Leblanc,Quebec,48.08,-65.63
Ruisseau-Noir,Quebec,47.94,-68.85
Ruisseau-Vacher,Quebec,45.92,-73.54
Ruisseau-Vert,Quebec,49.07,-68.46
Rumble Beach,British Columbia,50.42,-127.48
Rummelhardt,Ontario,43.44,-80.56
Runciman,Saskatchewan,52.98,-104.05
Rundle,Alberta,51.06,-113.96
Rundle Heights,Alberta,53.56,-113.38
Runnymede,Ontario,43.67,-79.48
Runnymede,Quebec,47.9,-66.95
Runnymede,Saskatchewan,51.48,-101.7
Rupert,Quebec,45.69,-75.98
Rusagonis Station,New Brunswick,45.77,-66.57
Ruscom Station,Ontario,42.21,-82.64
Rush Lake,Saskatchewan,50.4,-107.4
Rush Point,Ontario,44.47,-77.89
Rushton Island 90,British Columbia,54.25,-130.83
Ruskin,British Columbia,49.2,-122.43
Ruskview,Ontario,44.23,-80.12
Russeldale,Ontario,43.38,-81.25
Russell Landing,Ontario,45.26,-78.81
Russelltown,New Brunswick,46.54,-66.17
Russellville,New Brunswick,47.11,-65.38
Russeltown Flats,Quebec,45.06,-73.76
Rutherford,Ontario,42.65,-82.12
Rutherglen,Ontario,46.27,-79.03
Ruthilda,Saskatchewan,51.89,-108.46
Ruthven,Ontario,42.05,-82.67
Rutland,British Columbia,49.9,-119.38
Rutland,Saskatchewan,52.51,-109.53
Rutland Park,Alberta,51.02,-114.13
Ruttan Mine,Manitoba,56.48,-99.64
Rutter,Ontario,46.1,-80.65
Ryan Farm,Ontario,45.34,-75.75
Ryan's Corner,Quebec,45.82,-76.94
Ryanville,Quebec,45.93,-75.89
Ryckmans,Ontario,43.2,-79.88
Ryckmans Corners,Ontario,43.2,-79.89
Rydal Bank,Ontario,46.36,-83.74
Ryder Lake,British Columbia,49.1,-121.88
Ryderville,Ontario,43.18,-79.21
Rye,Ontario,45.85,-79.61
Ryerson,Ontario,45.58,-79.51
Ryerson,Saskatchewan,49.78,-101.66
Ryland,Ontario,49.71,-83.78
Rylstone,Ontario,44.39,-77.7
S1/2 Tsimpsean 2,British Columbia,54.35,-130.43
Saagoombahlah 6,British Columbia,51.08,-127.5
Saaiyouck 6,British Columbia,50.42,-125.15
Saanich Inlet Range,British Columbia,48.63,-123.49
Saanichton,British Columbia,48.6,-123.41
Sabaskong Bay 32C,Ontario,49.18,-94.18
Sabaskong Bay 35C,Ontario,49.19,-94.08
Sabaskong Bay 35D,Ontario,49.17,-93.92
Sabaskong Bay 35F,Ontario,49.13,-94.07
Sabaskong Bay 35H,Ontario,49.18,-94.19
Sabitawasis Beach 89 C-1,Saskatchewan,51.86,-103.58
Sable,Ontario,43.09,-81.73
Sable River West,Nova Scotia,43.83,-65.05
Sables-Spanish Rivers,Ontario,46.26,-82.06
Sabourins Crossing,Ontario,45.08,-75.61
Sabrevois,Quebec,45.2,-73.23
Sachigo Lake 1,Ontario,53.87,-92.19
Sachigo Lake 2,Ontario,53.96,-92.5
Sachigo Lake 3,Ontario,53.75,-92.33
Sachteen 2,British Columbia,49.99,-122.45
Sachteen 2A,British Columbia,49.98,-122.45
Sackanitecla 2,British Columbia,53.9,-124.08
Sackum 3,British Columbia,50.31,-121.39
Sacré-Coeur,Quebec,48.325,-69.19
Sacré-Coeur-de-Jésus,Quebec,46.21,-71.08
Sacré-Coeur-de-Marie,Quebec,46.13,-71.17
Saddle Horse 2,British Columbia,51.8,-123.05
Saddle Lake 125,Alberta,53.98,-111.67
Saddle Ridge,Alberta,51.11,-113.96
Saddle Rock 9,British Columbia,49.63,-121.39
Saddlebrook,Quebec,45.42,-74.16
Sadowa,Ontario,44.75,-79.15
Saganaga Lake,Ontario,48.24,-90.87
Sagard,Quebec,48.02,-70.06
Sage,Ontario,46.32,-79.41
Saginaw,Ontario,44.34,-79.05
Sahali,British Columbia,50.65,-120.33
Sahara Heights,British Columbia,49.25,-124.78
Sahhacum 1,British Columbia,49.07,-122.28
Sahhaltkum 4,British Columbia,50.81,-119.75
Sahtlam,British Columbia,48.76,-123.8
Sailors Encampment,Ontario,46.26,-84.09
Saint Joe 10,British Columbia,52.85,-128.68
Saint John East,New Brunswick,45.28,-66.04
Saint John West,New Brunswick,45.25,-66.07
Saint Mary's 1A,British Columbia,49.58,-115.76
Saint Ninian,Nova Scotia,45.95,-61.44
Saint-Abdon,Quebec,46.44,-70.46
Saint-Achillée,Quebec,47.05,-71.02
Saint-Adalbert,Quebec,46.86,-69.9
Saint-Adélard,Quebec,48.13,-65.41
Saint-Adelme,Quebec,48.81,-67.31
Saint-Adelme-Sud,Quebec,48.82,-67.25
Saint-Adelphe,Quebec,46.73,-72.43
Saint-Adolphe,Quebec,47.06,-71.3
Saint-Adolphe-de-Dudswell,Quebec,45.63,-71.59
Saint-Adolphe-d'Howard,Quebec,45.96,-74.33
Saint-Adrien-d'Irlande,Quebec,46.11,-71.45
Saint-Agricole,Quebec,48.49,-67.62
Saint-Aimé,Quebec,45.91,-72.93
Saint-Aimé-des-Lacs,Quebec,47.68,-70.3
Saint-Aimé-du-Lac-des-Îles,Quebec,46.4,-75.53
Saint-Albert,Quebec,46,-72.08
Saint-Alexandre-des-Lacs,Quebec,48.46,-67.3
Saint-Alexis,Quebec,46.97,-70.315
Saint-Alexis-de-Matapédia,Quebec,47.96,-67.05
Saint-Alfred,Quebec,46.15,-70.83
Saint-Alphonse,Quebec,48.18,-65.63
Saint-Alphonse-de-Caplan,Quebec,48.18,-65.62
Saint-Alphonse-de-Granby,Quebec,45.33,-72.81
Saint-Alphonse-Rodriguez,Quebec,46.18,-73.7
Saint-Amable,Quebec,45.65,-73.3
Saint-Amand,New Brunswick,47.14,-67.77
Saint-Amateur,New Brunswick,47.67,-65.17
Saint-Ambroise-de-Kildare,Quebec,46.08,-73.55
Saint-Amédée,Quebec,45.69,-74.98
Saint-Amédée-de-Péribonka,Quebec,48.81,-72.04
Saint-Anaclet,Quebec,48.47,-68.42
Saint-Anaclet-de-Lessard,Quebec,48.48,-68.41
Saint-André-d'Argenteuil,Quebec,45.56,-74.33
Saint-André-de-Restigouche,Quebec,48.06,-66.95
Saint-André-de-Shédiac,New Brunswick,46.17,-64.3
Saint-André-du-Lac-Saint-Jean,Quebec,48.31,-71.98
Saint-André-Station,Quebec,47.63,-69.68
Saint-Ange-Gardien,Quebec,45.35,-72.9
Saint-Anicet,Quebec,45.11,-74.35
Saint-Antoine-Abbé,Quebec,45.05,-73.88
Saint-Antoine-de-l'Isle-aux-Grues,Quebec,47.06,-70.55
Saint-Antoine-des-Laurentides,Quebec,45.75,-73.96
Saint-Antoine-de-Tilly,Quebec,46.66,-71.58
Saint-Antoine-sur-Richelieu,Quebec,45.78,-73.17
Saint-Armand,Quebec,45.03,-73.05
Saint-Armand-Centre,Quebec,45.04,-72.89
Saint-Arsène,Quebec,46.935,-71.305
Saint-Athanase,New Brunswick,46.72,-65.4
Saint-Athanase,Quebec,47.43,-69.41
Saint-Aubert,Quebec,47.18,-70.21
Saint-Aubin,New Brunswick,47.96,-66.58
Saint-Augustin-de-Desmaures,Quebec,46.73,-71.46
Saint-Augustin-de-Woburn,Quebec,45.38,-70.85
Saint-Barnabé,Quebec,46.4,-72.88
Saint-Barnabé-Sud,Quebec,45.73,-72.91
Saint-Barthélemy,Quebec,46.18,-73.13
Saint-Barthélemy-Station,Quebec,46.17,-73.09
Saint-Basile-de-Tableau,Quebec,48.37,-70.46
Saint-Basile-le-Grand,Quebec,45.53,-73.28
Saint-Basile-Station,Quebec,46.73,-71.8
Saint-Benjamin,Quebec,46.28,-70.6
Saint-Benoît,Quebec,45.56,-74.09
Saint-Benoît-de-Matapédia,Quebec,47.99,-67.1
Saint-Benoît-du-Lac,Quebec,45.16,-72.26
Saint-Benoît-Labre,Quebec,46.06,-70.8
Saint-Bernard-de-Lacolle,Quebec,45.08,-73.41
Saint-Bernard-de-Michaudville,Quebec,45.83,-73.06
Saint-Blaise-sur-Richelieu,Quebec,45.21,-73.28
Saint-Bonaventure,Quebec,45.96,-72.68
Saint-Boniface,Quebec,46.5,-72.81
Saint-Bruno-de-Guigues,Quebec,47.46,-79.43
Saint-Bruno-de-Kamouraska,Quebec,47.45,-69.75
Saint-Bruno-de-Montarville,Quebec,45.53,-73.35
Saint-Cajetan,Quebec,46.53,-75.82
Saint-Calixte,Quebec,45.95,-73.85
Saint-Calixte-de-Kilkenny,Quebec,45.95,-73.85
Saint-Calixte-Nord,Quebec,45.98,-73.91
Saint-Camille,New Brunswick,47,-64.84
Saint-Camille,Quebec,45.68,-71.7
Saint-Camille-de-Lellis,Quebec,46.45,-70.18
Saint-Canut,Quebec,45.71,-74.09
Saint-Cassien-des-Caps,Quebec,47.35,-70.61
Saint-Célestin-Station,Quebec,46.23,-72.41
Saint-Charles,New Brunswick,46.66,-64.97
Saint-Charles,Quebec,48.49,-71.4
Saint-Charles-Borromée,Quebec,46.05,-73.46
Saint-Charles-de-Bourget,Quebec,48.56,-71.36
Saint-Charles-de-Drummond,Quebec,45.9,-72.46
Saint-Charles-de-Montcalm,Quebec,46.09,-73.93
Saint-Charles-Garnier,Quebec,48.33,-68.05
Saint-Charles-Nord,New Brunswick,46.65,-65.03
Saint-Chrétien,Quebec,47.81,-69.93
Saint-Christophe-d'Arthabaska,Quebec,46.03,-71.88
Saint-Claude,Quebec,45.66,-71.98
Saint-Claude-Nord,Quebec,45.67,-71.99
Saint-Clément,Quebec,47.91,-69.1
Saint-Cléophas,Quebec,48.48,-67.75
Saint-Cléophas-de-Brandon,Quebec,46.23,-73.41
Saint-Clet,Quebec,45.35,-74.21
Saint-Colomban,Quebec,45.73,-74.13
Saint-Côme–Linière,Quebec,46.06,-70.51
Saint-Constant,Quebec,45.36,-73.56
Saint-Cuthbert,Quebec,46.15,-73.23
Saint-Cyprien-de-Napierville,Quebec,45.18,-73.41
Saint-Cyr,Quebec,45.71,-72.05
Saint-Cyriac,Quebec,48.34,-71.35
Saint-Cyrille,New Brunswick,46.37,-64.91
Saint-Cyrille-de-Lessard,Quebec,47.03,-70.28
Saint-Damase-de-L'Islet,Quebec,47.2,-70.13
Saint-Damase-des-Aulnaies,Quebec,47.19,-70.13
Saint-Damien,New Brunswick,46.34,-64.82
Saint-Damien,Quebec,46.33,-73.48
Saint-Damien-Station,Quebec,46.61,-70.72
Saint-Daniel,Quebec,46,-71.18
Saint-David,Quebec,45.95,-72.85
Saint-David-de-l'Auberivière,Quebec,46.77,-71.19
Saint-David-d'Yamaska,Quebec,45.95,-72.85
Saint-Denis-De La Bouteillerie,Quebec,47.5,-69.93
Saint-Denis-de-Brompton,Quebec,45.45,-72.08
Saint-Didace,Quebec,46.33,-73.28
Saint-Dominique-du-Rosaire,Quebec,48.76,-78.11
Saint-Donat,Quebec,47.405,-71.235
Sainte-Adélaïde-de-Pabos,Quebec,48.36,-64.6
Sainte-Adèle-Nord,Quebec,45.96,-74.14
Sainte-Agnès,Quebec,47.66,-70.26
Sainte-Agnès-de-Bellecombe,Quebec,48.09,-78.94
Sainte-Agnès-de-Dundee,Quebec,45,-74.4
Sainte-Anastasie,Quebec,46.36,-71.58
Sainte-Angèle-de-Monnoir,Quebec,45.38,-73.1
Sainte-Angèle-de-Prémont,Quebec,46.36,-73.05
Sainte-Angélique,Quebec,45.64,-75.01
Sainte-Anne,New Brunswick,47.62,-65.72
Sainte-Anne-de-Bellevue,Quebec,45.4,-73.95
Sainte-Anne-de-la-Pocatière,Quebec,47.34,-70.02
Sainte-Anne-de-la-Rochelle,Quebec,45.4,-72.4
Sainte-Anne-de-Sabrevois,Quebec,45.21,-73.21
Sainte-Anne-des-Lacs,Quebec,45.85,-74.13
Sainte-Anne-des-Monts,Quebec,49.13,-66.5
Sainte-Anne-de-Sorel,Quebec,46.06,-73.02
Sainte-Anne-du-Lac,Quebec,46.475,-73.265
Sainte-Anne-Ouest,Quebec,47,-70.98
Sainte-Apolline-de-Patton,Quebec,46.8,-70.2
Sainte-Aurélie,Quebec,46.18,-70.36
Sainte-Barbe,Quebec,45.16,-74.2
Sainte-Béatrix,Quebec,46.2,-73.61
Sainte-Brigide-d'Iberville,Quebec,45.31,-73.06
Sainte-Brigitte-de-Laval,Quebec,47,-71.2
Sainte-Brigitte-des-Saults,Quebec,46.03,-72.48
Sainte-Catherine,Quebec,45.4,-73.58
Sainte-Catherine-de-Hatley,Quebec,45.25,-72.05
Sainte-Catherine-de-la-Jacques-Cartier,Quebec,46.85,-71.61
Sainte-Cécile,New Brunswick,47.85,-64.66
Sainte-Cécile-de-Lévrard,Quebec,46.46,-72.16
Sainte-Cécile-de-Milton,Quebec,45.48,-72.75
Sainte-Cécile-de-Whitton,Quebec,45.66,-70.93
Sainte-Cécile-Station,Quebec,45.67,-70.95
Sainte-Christine,Quebec,45.61,-72.41
Sainte-Christine-d'Auvergne,Quebec,46.81,-71.96
Sainte-Clotilde,Quebec,45.15,-73.68
Sainte-Clotilde-de-Beauce,Quebec,46.13,-71.03
Sainte-Croix-Est,Quebec,46.63,-71.65
Saint-Edgar,Quebec,48.23,-65.72
Saint-Edmond,Quebec,47.62,-72.82
Saint-Edmond-de-Grantham,Quebec,45.88,-72.66
Saint-Edmond-les-Plaines,Quebec,48.9,-72.55
Sainte-Dorothée,Quebec,45.53,-73.81
Saint-Édouard-de-Fabre,Quebec,47.2,-79.36
Saint-Édouard-de-Kent,New Brunswick,46.54,-64.7
Saint-Édouard-de-Lotbinière,Quebec,46.56,-71.83
Saint-Édouard-de-Maskinongé,Quebec,46.33,-73.15
Sainte-Edwidge,Quebec,45.2,-71.68
Sainte-Edwidge-de-Clifton,Quebec,45.2,-71.68
Sainte-Élisabeth,Quebec,46.08,-73.35
Sainte-Élisabeth-de-Proulx,Quebec,48.96,-72.06
Sainte-Élizabeth-de-Warwick,Quebec,45.91,-72.08
Sainte-Eulalie,Quebec,46.1,-72.25
Sainte-Euphémie,Quebec,46.77,-70.44
Sainte-Euphémie-sur-Rivière-du-Sud,Quebec,46.76,-70.43
Sainte-Félicité-Ouest,Quebec,48.88,-67.39
Sainte-Flavie,Quebec,48.61,-68.23
Sainte-Flore,Quebec,46.61,-72.73
Sainte-Foy,Quebec,46.76,-71.3
Sainte-Foy–Sillery–Cap-Rouge,Quebec,46.76,-71.3
Sainte-Françoise,Quebec,47.275,-70.52
Sainte-Geneviève,Quebec,45.48,-73.86
Sainte-Geneviève-de-Batiscan,Quebec,46.53,-72.33
Sainte-Geneviève-de-Berthier,Quebec,46.08,-73.21
Sainte-Germaine,Quebec,47.51,-74.83
Sainte-Germaine-Boulé,Quebec,48.6,-79.11
Sainte-Germaine-Station,Quebec,46.37,-70.43
Sainte-Gertrude,Quebec,47.405,-75.29
Sainte-Gertrude-Manneville,Quebec,48.53,-78.36
Sainte-Hedwidge,Quebec,48.48,-72.35
Sainte-Hedwidge-de-Roberval,Quebec,48.48,-72.36
Sainte-Hélène,Quebec,48.74,-79.29
Sainte-Hélène-de-Breakeyville,Quebec,46.67,-71.22
Sainte-Hélène-de-Chester,Quebec,46.03,-71.7
Sainte-Hélène-de-la-Croix,Quebec,48.02,-65.43
Sainte-Hélène-de-Mancebourg,Quebec,48.73,-79.3
Sainte-Hénédine,Quebec,46.55,-70.98
Sainte-Irène,Quebec,48.43,-67.6
Sainte-Julie-de-Verchères,Quebec,45.59,-73.33
Sainte-Julienne,Quebec,45.96,-73.71
Sainte-Julie-Station,Quebec,46.31,-71.67
Sainte-Justine-de-Newton,Quebec,45.36,-74.41
Sainte-Justine-Station,Quebec,45.885,-72.39
Saint-Éleuthère,Quebec,47.48,-69.28
Saint-Élie-de-Caxton,Quebec,46.48,-72.96
Saint-Élie-d'Orford,Quebec,45.39,-72.04
Saint-Éloi,Quebec,48.03,-69.23
Saint-Éloi-Station,Quebec,48.06,-69.26
Sainte-Louise,New Brunswick,47.69,-65.79
Sainte-Louise,Quebec,47.28,-70.13
Sainte-Louise-Station,Quebec,47.28,-70.13
Saint-Elphège,Quebec,46.05,-72.7
Sainte-Luce-sur-Mer,Quebec,48.54,-68.38
Sainte-Lucie-de-Beauregard,Quebec,46.73,-70.01
Sainte-Lucie-des-Laurentides,Quebec,46.13,-74.18
Saint-Elzéar-de-Témiscouata,Quebec,47.58,-69.1
Sainte-Madeleine-de-la-Rivière-Madeleine,Quebec,49.23,-65.3
Sainte-Marcelline-de-Kildare,Quebec,46.11,-73.6
Sainte-Marguerite,Quebec,46.27,-72.49
Sainte-Marguerite-de-Lingwick,Quebec,45.6,-71.35
Sainte-Marguerite-du-Lac-Masson,Quebec,46.03,-74.05
Sainte-Marguerite-Marie,Quebec,48.56,-69.655
Sainte-Marguerite-Nord,Quebec,48.34,-67.03
Sainte-Marguerite-Station,Quebec,45.98,-74.11
Sainte-Marie-de-Blandford,Quebec,46.31,-72.18
Sainte-Marie-de-Charlevoix,Quebec,47.51,-70.39
Sainte-Marie-de-Kent,New Brunswick,46.41,-64.82
Sainte-Marie-de-Laval,Quebec,45.68,-73.68
Sainte-Marie-Madeleine,Quebec,45.6,-73.1
Sainte-Marie-Salomé,Quebec,45.93,-73.49
Sainte-Marie-sur-Mer,New Brunswick,47.77,-64.57
Sainte-Marthe,Quebec,45.4,-74.3
Sainte-Marthe-du-Cap,Quebec,46.37,-72.48
Sainte-Marthe-sur-le-Lac,Quebec,45.53,-73.93
Sainte-Mathilde,Quebec,47.67,-70.11
Sainte-Mélanie,Quebec,46.13,-73.51
Saint-Émile,Quebec,46.86,-71.33
Saint-Émile-de-Suffolk,Quebec,45.93,-74.91
Sainte-Odile-sur-Rimouski,Quebec,48.39,-68.53
Sainte-Paule,Quebec,48.66,-67.55
Sainte-Perpétue,Quebec,46.565,-71.195
Sainte-Perpétue-Station,Quebec,46.04,-72.4
Saint-Éphrem-Station,Quebec,46.06,-70.91
Sainte-Praxède,Quebec,45.9,-71.25
Sainte-Rita,Quebec,47.95,-68.91
Sainte-Rosalie,Quebec,45.64,-72.89
Sainte-Rosalie-Jonction,Quebec,45.63,-72.9
Sainte-Rose,Quebec,47.135,-76.38
Sainte-Rose-de-Watford,Quebec,46.31,-70.41
Sainte-Rose-Station,Quebec,46.32,-70.48
Sainte-Rosette,New Brunswick,47.71,-65.79
Sainte-Sabine,Quebec,45.855,-71.68
Sainte-Sabine-Station,Quebec,46.45,-70.28
Sainte-Scholastique,Quebec,45.65,-74.09
Sainte-Séraphine,Quebec,45.91,-72.18
Sainte-Sophie,Quebec,45.98,-72.805
Sainte-Sophie-de-Lévrard,Quebec,46.43,-72.11
Sainte-Sophie-de-Mégantic,Quebec,46.15,-71.7
Sainte-Sophie-d'Halifax,Quebec,46.15,-71.71
Saint-Esprit,Quebec,45.9,-73.66
Sainte-Thècle-Station,Quebec,46.8,-72.49
Sainte-Thérèse,Quebec,45.63,-73.85
Sainte-Thérèse-de-Gaspé,Quebec,48.41,-64.41
Sainte-Thérèse-de-Gaspé-Station,Quebec,48.41,-64.39
Sainte-Thérèse-de-Gatineau,Quebec,46.29,-75.86
Sainte-Thérèse-de-la-Gatineau,Quebec,46.3,-75.86
Sainte-Thérèse-de-Lisieux,Quebec,46.9,-71.2
Saint-Étienne,Quebec,48.2,-69.96
Saint-Étienne-de-Beauharnois,Quebec,45.25,-73.91
Saint-Étienne-de-Bolton,Quebec,45.26,-72.36
Saint-Étienne-de-Lauzon,Quebec,46.65,-71.3
Saint-Étienne-des-Grès,Quebec,46.43,-72.76
Saint-Eugène,Quebec,46.44,-71.515
Saint-Eugène-d'Argentenay,Quebec,48.98,-72.28
Saint-Eugène-de-Chazel,Quebec,48.95,-78.97
Saint-Eugène-de-Grantham,Quebec,45.8,-72.69
Saint-Eugène-de-Guigues,Quebec,47.51,-79.35
Saint-Eugène-de-Ladrière,Quebec,48.25,-68.8
Sainte-Ursule,Quebec,46.28,-73.03
Saint-Eusèbe,Quebec,47.55,-68.91
Saint-Eusèbe-Ouest,Quebec,47.49,-68.95
Saint-Évariste-de-Forsyth,Quebec,45.93,-70.95
Sainte-Victoire,Quebec,46,-72.52
Sainte-Victoire-de-Sorel,Quebec,45.94,-73.08
Saint-Fabien-de-Panet,Quebec,46.65,-70.15
Saint-Fabien-sur-Mer,Quebec,48.31,-68.86
Saint-Faustin,Quebec,46.11,-74.48
Saint-Faustin–Lac-Carré,Quebec,46.11,-74.48
Saint-Félix-de-Dalquier,Quebec,48.68,-78.11
Saint-Félix-d'Otis,Quebec,48.26,-70.61
Saint-Ferréol-les-Neiges,Quebec,47.11,-70.85
Saint-Fiacre,Quebec,48.24,-70.17
Saintfield,Ontario,44.18,-79.03
Saint-Flavien,Quebec,46.51,-71.6
Saint-Fortunat,Quebec,45.96,-71.6
Saint-François,Quebec,45.66,-73.61
Saint-François-d'Assise,Quebec,47.98,-67.16
Saint-François-de-Beauce,Quebec,46.26,-70.76
Saint-François-de-Kent,New Brunswick,46.45,-64.68
Saint-François-de-la-Rivière-du-Sud,Quebec,46.88,-70.71
Saint-François-de-l'Île-d'Orléans,Quebec,47,-70.81
Saint-François-de-Masham,Quebec,45.64,-76.07
Saint-François-de-Pabos,Quebec,48.38,-64.63
Saint-François-de-Sales,Quebec,48.31,-72.13
Saint-François-du-Lac,Quebec,46.06,-72.83
Saint-François-Ouest,Quebec,46.2,-70.81
Saint-François-Station,Quebec,46.89,-70.69
Saint-François-Xavier-de-Brompton,Quebec,45.53,-72.05
Saint-François-Xavier-de-Viger,Quebec,47.85,-69.25
Saint-Frédéric,Quebec,46.3,-70.96
Saint-Gabriel-de-Brandon,Quebec,46.26,-73.38
Saint-Gabriel-de-Kamouraska,Quebec,47.38,-69.93
Saint-Gabriel-de-Kent,New Brunswick,46.52,-64.81
Saint-Gabriel-de-Valcartier,Quebec,46.93,-71.46
Saint-Gabriel-Lalemant,Quebec,47.38,-69.93
Saint-Gédéon-de-Beauce,Quebec,45.85,-70.63
Saint-Georges-de-Bagot,Quebec,45.67,-72.83
Saint-Georges-de-Clarenceville,Quebec,45.06,-73.25
Saint-Georges-de-Malbaie,Quebec,48.65,-64.21
Saint-Georges-de-Windsor,Quebec,45.7,-71.83
Saint-Gérard,Quebec,45.75,-71.41
Saint-Gérard-des-Laurentides,Quebec,46.6,-72.81
Saint-Gérard-d'Yamaska,Quebec,46,-72.84
Saint-Gérard-Majella,Quebec,45.945,-73.13
